Name|Average(us)|Min(us)|Max(us)|Call
Deregister_MapHold           |          2.069 |          0.400 |       1113.600 |      1844196
Deregister_MapWait           |         29.220 |          0.000 |      69323.000 |      1844196
Deregister_Total             |         34.617 |          0.900 |      69327.100 |      1844196
Register_MapHold             |          1.516 |          0.300 |        485.200 |      1845897
Register_MapWait             |         18.979 |          0.000 |      92071.700 |      1845897
Register_Total               |         22.726 |          0.800 |      92077.900 |      1845897
Scheduler_MapHold            |        143.050 |          0.300 |      71554.800 |      7996919
Scheduler_MapWait            |          0.931 |          0.000 |      56678.700 |      7996919
Worker_Enter_MapHold         |          1.339 |          0.100 |      87532.300 |     11075376
Worker_Update_MapHold        |          0.424 |          0.100 |      91895.300 |   6957937770
