Name|Average(us)|Min(us)|Max(us)|Call
Deregister_MapHold           |          1.319 |          0.200 |       1091.000 |      1843731
Deregister_MapWait           |        620.870 |          0.000 |      96323.300 |      1843731
Deregister_Total             |        644.181 |          0.700 |      96326.400 |      1843731
Register_MapHold             |          1.365 |          0.200 |        994.100 |      1845489
Register_MapWait             |        432.192 |          0.000 |     104544.500 |      1845489
Register_Total               |        452.940 |          0.600 |     104549.300 |      1845489
Scheduler_MapHold            |        157.403 |          0.500 |      79246.000 |      7995758
Scheduler_MapWait            |          8.819 |          0.000 |      79927.100 |      7995758
Worker_Enter_MapHold         |         48.797 |          0.700 |      96581.600 |     11072928
Worker_Update_MapHold        |          1.616 |          0.100 |      95554.000 |   7012086564
